image,fold
57503_000116_Endzone_frame443.jpg,0
57503_000116_Sideline_frame490.jpg,0
57503_001581_Endzone_frame327.jpg,0
57503_001581_Sideline_frame88.jpg,3
57503_003655_Endzone_frame115.jpg,3
57503_003655_Sideline_frame72.jpg,0
57503_003731_Endzone_frame27.jpg,0
57503_003731_Sideline_frame428.jpg,3
57503_004011_Endzone_frame15.jpg,0
57503_004011_Sideline_frame123.jpg,1
57504_000838_Endzone_frame455.jpg,3
57504_000838_Sideline_frame467.jpg,0
57504_000874_Endzone_frame56.jpg,2
57504_000874_Sideline_frame172.jpg,2
57504_001174_Endzone_frame56.jpg,0
57504_001174_Sideline_frame294.jpg,3
57504_001348_Endzone_frame216.jpg,0
57504_001348_Sideline_frame19.jpg,3
57504_004120_Endzone_frame46.jpg,0
57504_004120_Sideline_frame121.jpg,0
57505_000824_Endzone_frame320.jpg,2
57505_000824_Sideline_frame196.jpg,3
57505_001459_Endzone_frame344.jpg,3
57505_001459_Sideline_frame387.jpg,2
57505_003052_Endzone_frame308.jpg,2
57505_003052_Sideline_frame207.jpg,1
57505_004127_Endzone_frame281.jpg,0
57505_004127_Sideline_frame239.jpg,2
57506_000286_Endzone_frame261.jpg,1
57506_000286_Sideline_frame193.jpg,2
57506_000612_Sideline_frame140.jpg,2
57506_001064_Endzone_frame54.jpg,1
57506_001064_Sideline_frame441.jpg,2
57506_001426_Endzone_frame243.jpg,0
57506_001426_Sideline_frame255.jpg,1
57506_002544_Endzone_frame336.jpg,2
57506_002544_Sideline_frame303.jpg,3
57507_000161_Endzone_frame360.jpg,1
57507_000161_Sideline_frame552.jpg,0
57507_000263_Endzone_frame6.jpg,1
57507_000263_Sideline_frame83.jpg,2
57507_000563_Endzone_frame238.jpg,2
57507_000563_Sideline_frame182.jpg,1
57507_000828_Endzone_frame323.jpg,0
57507_000828_Sideline_frame73.jpg,2
57507_001083_Endzone_frame223.jpg,0
57507_001083_Sideline_frame78.jpg,0
57508_000102_Endzone_frame311.jpg,0
57508_000102_Sideline_frame4.jpg,0
57508_000243_Endzone_frame175.jpg,3
57508_000243_Sideline_frame268.jpg,1
57508_003353_Endzone_frame327.jpg,2
57508_003353_Sideline_frame150.jpg,2
57508_003904_Endzone_frame497.jpg,3
57508_003904_Sideline_frame173.jpg,3
57508_004067_Sideline_frame235.jpg,0
57509_000467_Endzone_frame246.jpg,1
57509_000467_Sideline_frame147.jpg,3
57509_000776_Endzone_frame249.jpg,0
57509_000776_Sideline_frame55.jpg,1
57509_001809_Endzone_frame316.jpg,0
57509_001809_Sideline_frame328.jpg,2
57509_001970_Endzone_frame289.jpg,3
57509_001970_Sideline_frame214.jpg,2
57509_003615_Endzone_frame98.jpg,1
57509_003615_Sideline_frame169.jpg,3
57510_000873_Endzone_frame66.jpg,2
57510_000873_Sideline_frame164.jpg,0
57510_001289_Endzone_frame214.jpg,3
57510_001289_Sideline_frame199.jpg,3
57510_001310_Endzone_frame16.jpg,1
57510_001310_Sideline_frame374.jpg,0
57510_001626_Endzone_frame262.jpg,0
57510_001626_Sideline_frame283.jpg,0
57511_000676_Endzone_frame478.jpg,3
57511_000676_Sideline_frame96.jpg,3
57511_002642_Endzone_frame305.jpg,1
57511_002642_Sideline_frame108.jpg,1
57511_003058_Endzone_frame79.jpg,1
57511_003058_Sideline_frame121.jpg,2
57511_003212_Endzone_frame104.jpg,3
57511_003212_Sideline_frame560.jpg,2
57511_003939_Endzone_frame197.jpg,0
57511_003939_Sideline_frame75.jpg,0
57512_000051_Endzone_frame161.jpg,2
57512_000051_Sideline_frame114.jpg,1
57512_002333_Endzone_frame280.jpg,1
57512_002333_Sideline_frame296.jpg,1
57512_002817_Endzone_frame115.jpg,2
57512_002817_Sideline_frame252.jpg,2
57512_002838_Endzone_frame281.jpg,0
57512_002838_Sideline_frame59.jpg,2
57512_003741_Endzone_frame296.jpg,1
57512_003741_Sideline_frame407.jpg,2
57513_000615_Endzone_frame323.jpg,2
57513_000615_Sideline_frame122.jpg,1
57513_001491_Endzone_frame166.jpg,0
57513_001491_Sideline_frame107.jpg,3
57513_001877_Endzone_frame246.jpg,2
57513_001877_Sideline_frame76.jpg,2
57513_002487_Endzone_frame250.jpg,3
57513_002487_Sideline_frame6.jpg,1
57513_002509_Endzone_frame196.jpg,2
57513_002509_Sideline_frame431.jpg,0
57514_000728_Endzone_frame242.jpg,0
57514_000728_Sideline_frame509.jpg,3
57514_001170_Endzone_frame174.jpg,2
57514_001170_Sideline_frame283.jpg,2
57514_001726_Endzone_frame235.jpg,0
57514_001726_Sideline_frame128.jpg,3
57514_002945_Endzone_frame111.jpg,3
57514_002945_Sideline_frame257.jpg,1
57515_001143_Endzone_frame510.jpg,0
57515_001143_Sideline_frame203.jpg,2
57515_001257_Endzone_frame258.jpg,1
57515_001257_Sideline_frame22.jpg,3
57515_001777_Endzone_frame430.jpg,0
57515_001777_Sideline_frame283.jpg,3
57515_003343_Endzone_frame356.jpg,2
57515_003343_Sideline_frame172.jpg,3
57515_003465_Endzone_frame349.jpg,3
57515_003465_Sideline_frame475.jpg,2
57516_000058_Endzone_frame17.jpg,1
57516_000058_Sideline_frame297.jpg,2
57516_001350_Endzone_frame8.jpg,1
57516_001350_Sideline_frame140.jpg,1
57516_001430_Endzone_frame130.jpg,1
57516_001430_Sideline_frame237.jpg,0
57516_002685_Endzone_frame184.jpg,3
57516_002685_Sideline_frame54.jpg,0
57516_003501_Endzone_frame200.jpg,2
